Movie Title,YouTube Link,Year,Rated,Released,Runtime,Genre,Director,Writer,Actors,Plot,Language,Country,Awards,Poster,Metascore,imdbRating,imdbVotes,imdbID,Type,totalSeasons,
Fantastic Four,https://www.youtube.com/watch?v=AAgnQdiZFsQ,2005,PG-13,08 Jul 2005,106 min,"Action, Adventure, Fantasy",Tim Story,"Mark Frost, Michael France, Stan Lee","Ioan Gruffudd, Michael Chiklis, Chris Evans","A group of astronauts gain superpowers after a cosmic radiation exposure and must use them to oppose the plans of their enemy, Doctor Victor Von Doom.",English,"Germany, United States, Canada",4 wins & 13 nominations total,https://m.media-amazon.com/images/M/MV5BNjY2YmZmMzUtZWY5Mi00MzI3LTljOTgtYTMwMWY1ODI5ZWY5XkEyXkFqcGc@._V1_SX300.jpg,40,5.7,368633,tt0120667,movie,N/A,
Hitman: Agent 47,https://www.youtube.com/watch?v=k7X8fCUMMVM,2015,R,21 Aug 2015,96 min,"Action, Adventure, Crime",Aleksander Bach,"Skip Woods, Michael Finch","Rupert Friend, Hannah Ware, Zachary Quinto",An assassin teams up with a woman to help her find her father and uncover the mysteries of her ancestry.,English,"United States, United Kingdom, Germany, Canada, Singapore",2 nominations total,https://m.media-amazon.com/images/M/MV5BNTBiYjg1ZGYtZjQxZS00NDBkLTgyZjEtZGIzYWNmNjhiOGRjXkEyXkFqcGc@._V1_SX300.jpg,28,5.7,100104,tt2679042,movie,N/A,
Paper Towns,https://www.youtube.com/watch?v=rnjuh5dXk-g,2015,PG-13,24 Jul 2015,109 min,"Adventure, Comedy, Drama",Jake Schreier,"Scott Neustadter, Michael H. Weber, John Green","Nat Wolff, Cara Delevingne, Austin Abrams","After an all-night adventure, Quentin's lifelong crush, Margo, disappears, leaving behind clues that Quentin and his friends follow on the journey of a lifetime.",English,United States,4 wins & 3 nominations total,https://m.media-amazon.com/images/M/MV5BMjE2ODQxODMwOF5BMl5BanBnXkFtZTgwNDY5NjY3NDE@._V1_SX300.jpg,56,6.2,110882,tt3622592,movie,N/A,
Poltergeist,https://www.youtube.com/watch?v=pyuZQtUrVm4,1982,PG,04 Jun 1982,114 min,"Horror, Thriller",Tobe Hooper,"Steven Spielberg, Michael Grais, Mark Victor","JoBeth Williams, Heather O'Rourke, Craig T. Nelson","A family's home becomes the center of paranormal activity that opens a doorway to the ""other side."" With help, they must cross over to get their daughter back.",English,United States,Nominated for 3 Oscars. 5 wins & 9 nominations total,https://m.media-amazon.com/images/M/MV5BNzY4MGZkYjgtYTQ2YS00YTlhLWEyMjAtMjZhYzczNTRlM2ZmXkEyXkFqcGc@._V1_SX300.jpg,79,7.3,191367,tt0084516,movie,N/A,
Spy,https://www.youtube.com/watch?v=ltijEmlyqlg,2015,R,05 Jun 2015,120 min,"Action, Comedy",Paul Feig,Paul Feig,"Melissa McCarthy, Rose Byrne, Jude Law",A desk-bound CIA analyst volunteers to go undercover to infiltrate the world of a deadly arms dealer and prevent diabolical global disaster.,"English, French, Italian, German, Hungarian, Bulgarian, Ukrainian, Japanese",United States,6 wins & 31 nominations total,https://m.media-amazon.com/images/M/MV5BNjI5OTQ0MDQxM15BMl5BanBnXkFtZTgwMzcwNjMyNTE@._V1_SX300.jpg,75,7,270725,tt3079380,movie,N/A,
The Longest Ride,https://www.youtube.com/watch?v=FUS_Q7FsfqU,2015,PG-13,10 Apr 2015,123 min,"Drama, Romance",George Tillman Jr.,"Nicholas Sparks, Craig Bolotin","Scott Eastwood, Britt Robertson, Alan Alda","Sophia and Luke make an unexpected and fateful connection with Ira, a 90-year-old man, when they save him from a car crash. Ira's memories of his own decades-long romance with his beloved wife deeply inspire the young couple.",English,United States,1 win & 5 nominations total,https://m.media-amazon.com/images/M/MV5BMzIzMjg0NjQwNF5BMl5BanBnXkFtZTgwODAwOTE4MzE@._V1_SX300.jpg,33,7,93089,tt2726560,movie,N/A,
Kingsman: The Secret Service,https://www.youtube.com/watch?v=Th_KrhqmHk8,2014,R,13 Feb 2015,129 min,"Action, Adventure, Comedy",Matthew Vaughn,"Jane Goldman, Matthew Vaughn, Mark Millar","Colin Firth, Taron Egerton, Samuel L. Jackson","A spy organisation recruits a promising street kid into the agency's training program, while a global threat emerges from a twisted tech genius.","English, Arabic, Swedish","United Kingdom, United States",11 wins & 36 nominations total,https://m.media-amazon.com/images/M/MV5BODk1MTYwNTAtYmI5Zi00OWYyLWE0MzQtOWE4NDIxZmU2MjMwXkEyXkFqcGc@._V1_SX300.jpg,60,7.7,762593,tt2802144,movie,N/A,
Unfinished Business,https://www.youtube.com/watch?v=8yb9Dn2mnMg,2015,R,06 Mar 2015,91 min,"Comedy, Drama",Ken Scott,Steve Conrad,"Vince Vaughn, Dave Franco, Tom Wilkinson","A hard-working small business owner and his two associates travel to Europe to close the most important deal of their lives. But what began as a routine business trip goes off the rails in every way imaginable, and unimaginable.",English,"Germany, United States",1 nomination total,https://m.media-amazon.com/images/M/MV5BOWVkMDVlNmUtNmUwNC00OTJiLTgxMTUtNmNjYTUyODFhZTQyXkEyXkFqcGc@._V1_SX300.jpg,32,5.4,35928,tt2358925,movie,N/A,
Exodus: Gods and Kings,https://www.youtube.com/watch?v=t-8YsulfxVI,2014,PG-13,12 Dec 2014,150 min,"Action, Adventure, Drama",Ridley Scott,"Adam Cooper, Bill Collage, Jeffrey Caine","Christian Bale, Joel Edgerton, Ben Kingsley","The defiant leader Moses rises up against Egyptian Pharaoh Ramses II, setting six hundred thousand slaves on a monumental journey of escape from Egypt and its terrifying cycle of deadly plagues.",English,"United Kingdom, Spain, United States",6 nominations total,https://m.media-amazon.com/images/M/MV5BMjI3MDY0NjkxNl5BMl5BanBnXkFtZTgwNTM3NTA0MzE@._V1_SX300.jpg,52,6,184383,tt1528100,movie,N/A,
TAKEN 3,https://www.youtube.com/watch?v=JuU0M2xBasc,2014,PG-13,09 Jan 2015,108 min,"Action, Crime, Thriller",Olivier Megaton,"Luc Besson, Robert Mark Kamen","Liam Neeson, Forest Whitaker, Maggie Grace","Framed for his ex-Wife's murder, Bryan Mills sets out to take revenge on the real killers.","English, Russian","France, Spain, United States",3 wins & 3 nominations total,https://m.media-amazon.com/images/M/MV5BNjM5MDU3NTY0M15BMl5BanBnXkFtZTgwOTk2ODU2MzE@._V1_SX300.jpg,26,6,212199,tt2446042,movie,N/A,
The Pyramid,https://www.youtube.com/watch?v=jP5QrOR4AIw,2014,R,05 Dec 2014,89 min,"Horror, Mystery, Thriller",Grégory Levasseur,"Daniel Meersand, Nick Simon","Ashley Hinshaw, James Buckley, Denis O'Hare",An archaeological team attempts to unlock the secrets of a lost pyramid only to find themselves hunted by an insidious creature.,English,"Morocco, United States",1 nomination total,https://m.media-amazon.com/images/M/MV5BMjAxODg2Mzc5OV5BMl5BanBnXkFtZTgwOTUxNTQ1MjE@._V1_SX300.jpg,24,4.7,28611,tt2799166,movie,N/A,
Gone Girl,https://www.youtube.com/watch?v=2-_-1nJf8Vg,2014,R,03 Oct 2014,149 min,"Drama, Mystery, Thriller",David Fincher,Gillian Flynn,"Ben Affleck, Rosamund Pike, Neil Patrick Harris",The husband of a missing woman becomes the main suspect in her disappearance.,English,United States,Nominated for 1 Oscar. 64 wins & 189 nominations total,https://m.media-amazon.com/images/M/MV5BMTk0MDQ3MzAzOV5BMl5BanBnXkFtZTgwNzU1NzE3MjE@._V1_SX300.jpg,79,8.1,1142231,tt2267998,movie,N/A,
Let's Be Cops,https://www.youtube.com/watch?v=ZFpm9fb9VPc,2014,R,13 Aug 2014,104 min,"Action, Comedy, Crime",Luke Greenfield,"Luke Greenfield, Nicholas Thomas","Jake Johnson, Damon Wayans Jr., Rob Riggle","Two struggling pals dress as police officers for a costume party and become neighborhood sensations. But when these newly-minted ""heroes"" get tangled in a real life web of mobsters and dirty detectives, they must put their fake ba...","English, Spanish",United States,2 nominations total,https://m.media-amazon.com/images/M/MV5BMjI3MDY2ODQwNF5BMl5BanBnXkFtZTgwNjUzNjE4MTE@._V1_SX300.jpg,30,6.4,141849,tt1924435,movie,N/A,
The Maze Runner,https://www.youtube.com/watch?v=64-iSYVmMVY,2014,PG-13,19 Sep 2014,113 min,"Action, Mystery, Sci-Fi",Wes Ball,"Noah Oppenheim, Grant Pierce Myers, T.S. Nowlin","Dylan O'Brien, Kaya Scodelario, Will Poulter","Thomas is deposited in a community of boys after his memory is erased, soon learning they're all trapped in a maze that will require him to join forces with fellow ""runners"" for a shot at escape.",English,"United States, United Kingdom",4 wins & 12 nominations total,https://m.media-amazon.com/images/M/MV5BMjUyNTA3MTAyM15BMl5BanBnXkFtZTgwOTEyMTkyMjE@._V1_SX300.jpg,57,6.8,543135,tt1790864,movie,N/A,
The Fault In Our Stars,https://www.youtube.com/watch?v=9ItBvH5J6ss,2014,PG-13,06 Jun 2014,126 min,"Drama, Romance",Josh Boone,"Scott Neustadter, Michael H. Weber, John Green","Shailene Woodley, Ansel Elgort, Nat Wolff","Hazel and Gus are teenagers who meet at a cancer support group and fall in love. They both share the same acerbic wit and a love of books, especially ""An Imperial Affliction"", so they embark on a journey to visit an author in Amst...",English,United States,23 wins & 18 nominations total,https://m.media-amazon.com/images/M/MV5BYTA4ODg5YWUtYmZiYy00Y2M4LWE0NjEtODE5MzhkYmJmZGEwXkEyXkFqcGc@._V1_SX300.jpg,69,7.6,419175,tt2582846,movie,N/A,
The Other Woman,https://www.youtube.com/watch?v=BlHMHLuJWbo,2014,PG-13,25 Apr 2014,109 min,"Comedy, Romance",Nick Cassavetes,Melissa K. Stack,"Cameron Diaz, Leslie Mann, Kate Upton","After discovering that her boyfriend is married, Carly meets the wife he's been betraying; when yet another affair is discovered, all three women team up to plot revenge on the three-timing S.O.B.",English,United States,3 wins & 5 nominations total,https://m.media-amazon.com/images/M/MV5BMTc0ODE4ODY1OF5BMl5BanBnXkFtZTgwMDA5NjkzMTE@._V1_SX300.jpg,39,6,157469,tt2203939,movie,N/A,
Son Of God,https://www.youtube.com/watch?v=-Hsl5UG9O_c,2014,PG-13,28 Feb 2014,138 min,"Biography, Drama, History",Christopher Spencer,"Richard Bedser, Christopher Spencer, Colin Swash","Diogo Morgado, Amber Rose Revah, Greg Hicks","The life story of Jesus is told from his humble birth through his teachings, crucifixion and ultimate resurrection.","English, Hebrew",United States,2 wins & 1 nomination total,https://m.media-amazon.com/images/M/MV5BMjA3NjQ2ODYwN15BMl5BanBnXkFtZTgwNTQ0NDc2MDE@._V1_SX300.jpg,37,5.8,20107,tt3210686,movie,N/A,
The Book Thief,https://www.youtube.com/watch?v=38K6u_z5Gug,2013,PG-13,27 Nov 2013,131 min,"Drama, War",Brian Percival,"Markus Zusak, Michael Petroni","Sophie Nélisse, Geoffrey Rush, Emily Watson","While subjected to the horrors of World War II Germany, young Liesel finds solace by stealing books and sharing them with others. In the basement of her home, a Jewish refugee is being protected by her adoptive parents.","English, German","Germany, United States, United Kingdom",Nominated for 1 Oscar. 9 wins & 17 nominations total,https://m.media-amazon.com/images/M/MV5BOTE3NzkyMjAyNF5BMl5BanBnXkFtZTgwMDc5MTE0MDE@._V1_SX300.jpg,53,7.5,146105,tt0816442,movie,N/A,
The Counselor,https://www.youtube.com/watch?v=H-BWSrFqjMA,2013,R,25 Oct 2013,117 min,"Action, Adventure, Crime",Ridley Scott,Cormac McCarthy,"Michael Fassbender, Penélope Cruz, Cameron Diaz",A lawyer finds himself in over his head when he gets involved in drug trafficking.,"English, Spanish, Dutch","United Kingdom, United States",5 wins & 3 nominations total,https://m.media-amazon.com/images/M/MV5BMTc3ODk0MTY0N15BMl5BanBnXkFtZTgwOTU2MTEzMDE@._V1_SX300.jpg,48,5.4,108778,tt2193215,movie,N/A,
Percy Jackson: Sea of Monsters,https://www.youtube.com/watch?v=0JH6zvsNEDI,2013,PG,07 Aug 2013,106 min,"Adventure, Family, Fantasy",Thor Freudenthal,"Marc Guggenheim, Rick Riordan","Logan Lerman, Alexandra Daddario, Brandon T. Jackson","In order to restore their dying safe haven, the son of Poseidon and his friends embark on a quest to the Sea of Monsters, to find the mythical Golden Fleece, all the while trying to stop an ancient evil from rising.",English,"United States, Canada",3 wins & 5 nominations total,https://m.media-amazon.com/images/M/MV5BMGMyZTI2MjUtODEzMi00M2JlLWEwZGEtYWE5MmY5OWNkYTRjXkEyXkFqcGc@._V1_SX300.jpg,39,5.7,131803,tt1854564,movie,N/A,
The Wolverine,https://www.youtube.com/watch?v=DwG56k6VGOE,2013,PG-13,26 Jul 2013,126 min,"Action, Sci-Fi",James Mangold,"Mark Bomback, Scott Frank","Hugh Jackman, Will Yun Lee, Tao Okamoto","Wolverine comes to Japan to meet an old friend whose life he saved years ago, and gets embroiled in a conspiracy involving yakuza and mutants.","English, Japanese","United States, United Kingdom, Japan",2 wins & 11 nominations total,https://m.media-amazon.com/images/M/MV5BNGU0MzRhMWEtYTBkNS00NzliLWJkMmUtMDFlMjkyOTkyYmZlXkEyXkFqcGc@._V1_SX300.jpg,61,6.7,515820,tt1430132,movie,N/A,
The Internship,https://www.youtube.com/watch?v=G3W6IESxRKs,2013,PG-13,07 Jun 2013,119 min,Comedy,Shawn Levy,"Vince Vaughn, Jared Stern","Vince Vaughn, Owen Wilson, Rose Byrne","Two salesmen whose careers have been torpedoed by the digital age find their way into a coveted internship at Google, where they must compete with a group of young, tech-savvy geniuses for a shot at employment.","English, Tagalog, Cantonese, Mandarin, Spanish",United States,2 nominations total,https://m.media-amazon.com/images/M/MV5BMjM1MzczMDgwOV5BMl5BanBnXkFtZTcwMDM4NjM2OQ@@._V1_SX300.jpg,42,6.3,222971,tt2234155,movie,N/A,
The Heat,https://www.youtube.com/watch?v=1O3iRdiplB0,2013,R,28 Jun 2013,117 min,"Action, Comedy, Crime",Paul Feig,Katie Dippold,"Sandra Bullock, Michael McDonald, Melissa McCarthy",An uptight FBI Special Agent is paired with a foul-mouthed Boston cop to take down a ruthless drug lord.,"English, Spanish, Bulgarian","United States, United Kingdom",7 wins & 16 nominations total,https://m.media-amazon.com/images/M/MV5BMjA2MDQ2ODM3MV5BMl5BanBnXkFtZTcwNDUzMTQ3OQ@@._V1_SX300.jpg,60,6.6,185730,tt2404463,movie,N/A,
Epic,https://www.youtube.com/watch?v=GKVO6YRJQTo,2013,PG,24 May 2013,102 min,"Animation, Action, Adventure",Chris Wedge,"James V. Hart, William Joyce, Daniel Shere","Amanda Seyfried, Josh Hutcherson, Beyoncé",A teenager finds herself transported to a deep forest setting where a battle between the forces of good and evil is taking place. She bands together with a ragtag group of characters to save their world--and ours.,English,"United States, United Kingdom",2 wins & 21 nominations total,https://m.media-amazon.com/images/M/MV5BYTJmMWJmZTktZmM2Zi00ZmE0LWJiYWMtMDRlNDdhMmVjNjA3XkEyXkFqcGc@._V1_SX300.jpg,52,6.6,113253,tt0848537,movie,N/A,
The Croods,https://www.youtube.com/watch?v=bW7zc6DWdeg,2013,PG,22 Mar 2013,98 min,"Animation, Adventure, Comedy","Kirk DeMicco, Chris Sanders","Kirk DeMicco, Chris Sanders, John Cleese","Nicolas Cage, Ryan Reynolds, Emma Stone","In the primeval era, Grug and his family risk the dangers of their surroundings to find a new dwelling place. Along the way, they meet a modern boy who woos them with his adventurous ways.",English,United States,Nominated for 1 Oscar. 5 wins & 46 nominations total,https://m.media-amazon.com/images/M/MV5BMTcyOTc2OTA1Ml5BMl5BanBnXkFtZTcwOTI1MjkzOQ@@._V1_SX300.jpg,55,7.1,246285,tt0481499,movie,N/A,
A Good Day to Die Hard,https://www.youtube.com/watch?v=GUFoll7D4h4,2013,R,14 Feb 2013,98 min,"Action, Thriller",John Moore,"Skip Woods, Roderick Thorp","Bruce Willis, Jai Courtney, Sebastian Koch","John McClane travels to Russia to help out his seemingly wayward son, Jack, only to discover that Jack is a CIA operative working undercover, causing the father and son to team up against underworld forces.",English,"United States, United Kingdom, Hungary",5 wins & 8 nominations total,https://m.media-amazon.com/images/M/MV5BMTcwNzgyNzUzOV5BMl5BanBnXkFtZTcwMzAwOTA5OA@@._V1_SX300.jpg,28,5.2,221035,tt1606378,movie,N/A,
Parental Guidance,https://www.youtube.com/watch?v=E8TsXD79iJ0,2012,PG,25 Dec 2012,105 min,"Comedy, Family",Andy Fickman,"Lisa Addario, Joe Syracuse","Billy Crystal, Bette Midler, Marisa Tomei",Artie and Diane Decker agree to look after their three grandchildren when their type-A helicopter parents go out of town for work, Problems arise when the kids' 21st-century behavior collides with their grandparents' old-school me...,English,United States,1 win & 4 nominations total,https://m.media-amazon.com/images/M/MV5BMzkyNDExOTA1Nl5BMl5BanBnXkFtZTcwNjgzODE4OA@@._V1_SX300.jpg,36,6,27305,tt1047540,movie,N/A
A Good Day To Die Hard,https://www.youtube.com/watch?v=5SQ0IzY0YrY,2013,R,14 Feb 2013,98 min,"Action, Thriller",John Moore,"Skip Woods, Roderick Thorp","Bruce Willis, Jai Courtney, Sebastian Koch","John McClane travels to Russia to help out his seemingly wayward son, Jack, only to discover that Jack is a CIA operative working undercover, causing the father and son to team up against underworld forces.",English,"United States, United Kingdom, Hungary",5 wins & 8 nominations total,https://m.media-amazon.com/images/M/MV5BMTcwNzgyNzUzOV5BMl5BanBnXkFtZTcwMzAwOTA5OA@@._V1_SX300.jpg,28,5.2,221035,tt1606378,movie,N/A,
Broken City,https://www.youtube.com/watch?v=oJWfM40Sklc,2013,R,18 Jan 2013,109 min,"Action, Crime, Drama",Allen Hughes,Brian Tucker,"Mark Wahlberg, Russell Crowe, Catherine Zeta-Jones","In a city rife with injustice, ex-cop Billy Taggart seeks redemption and revenge after being double-crossed by its most powerful figure: Mayor Nicholas Hostetler.","English, Spanish",United States,1 win total,https://m.media-amazon.com/images/M/MV5BMTY4OTIwODg4Ml5BMl5BanBnXkFtZTcwNjg0MDY1OA@@._V1_SX300.jpg,49,6.1,85050,tt1235522,movie,N/A,
Life of Pi,https://www.youtube.com/watch?v=zoA-1gFmOIM,2012,PG,21 Nov 2012,127 min,"Adventure, Drama, Fantasy",Ang Lee,"Yann Martel, David Magee","Suraj Sharma, Irrfan Khan, Adil Hussain","A young man who survives a disaster at sea is hurtled into an epic journey of adventure and discovery. While cast away, he forms an unexpected connection with another survivor: a fearsome Bengal tiger.","English, Hindi, Japanese, French","United States, Taiwan, United Kingdom, Canada, India, France",Won 4 Oscars. 81 wins & 134 nominations total,https://m.media-amazon.com/images/M/MV5BNTg2OTY2ODg5OF5BMl5BanBnXkFtZTcwODM5MTYxOA@@._V1_SX300.jpg,79,7.9,691367,tt0454876,movie,N/A,
Taken 2,https://www.youtube.com/watch?v=U3T9PD5IGjI,2012,PG-13,05 Oct 2012,92 min,"Action, Crime, Thriller",Olivier Megaton,"Luc Besson, Robert Mark Kamen","Liam Neeson, Famke Janssen, Maggie Grace","In Istanbul, retired CIA operative Bryan Mills and his wife are taken hostage by the father of a kidnapper Mills killed while rescuing his daughter.","English, Turkish, Arabic, Albanian","France, United States, Turkey, United Kingdom",1 win & 3 nominations total,https://m.media-amazon.com/images/M/MV5BMTkwNTQ0ODExOV5BMl5BanBnXkFtZTcwNjU3NDQwOA@@._V1_SX300.jpg,45,6.2,333150,tt1397280,movie,N/A,
Chasing Mavericks,https://www.youtube.com/watch?v=jeUk-kY6n94,2012,PG,26 Oct 2012,116 min,"Biography, Drama, Sport","Michael Apted, Curtis Hanson","Kario Salem, Jim Meenaghan, Brandon Hooper","Jonny Weston, Gerard Butler, Elisabeth Shue","When young Jay Moriarity discovers that the mythic Mavericks surf break, one of the biggest waves on Earth, exists just miles from his Santa Cruz home, he enlists the help of local legend Frosty Hesson to train him to survive it.",English,United States,N/A,https://m.media-amazon.com/images/M/MV5BMzc5MTU5MTk2OF5BMl5BanBnXkFtZTcwMzg3NjcxOA@@._V1_SX300.jpg,45,7.1,35467,tt1629757,movie,N/A,
Life Of Pi,https://www.youtube.com/watch?v=9A0p_SJ8eu4,2012,PG,21 Nov 2012,127 min,"Adventure, Drama, Fantasy",Ang Lee,"Yann Martel, David Magee","Suraj Sharma, Irrfan Khan, Adil Hussain","A young man who survives a disaster at sea is hurtled into an epic journey of adventure and discovery. While cast away, he forms an unexpected connection with another survivor: a fearsome Bengal tiger.","English, Hindi, Japanese, French","United States, Taiwan, United Kingdom, Canada, India, France",Won 4 Oscars. 81 wins & 134 nominations total,https://m.media-amazon.com/images/M/MV5BNTg2OTY2ODg5OF5BMl5BanBnXkFtZTcwODM5MTYxOA@@._V1_SX300.jpg,79,7.9,691367,tt0454876,movie,N/A,
Won't Back Down,https://www.youtube.com/watch?v=1a7SLGSmAsw,2012,PG,28 Sep 2012,121 min,Drama,Daniel Barnz,"Brin Hill, Daniel Barnz","Viola Davis, Maggie Gyllenhaal, Holly Hunter","Two determined mothers, one a teacher, look to transform their children's failing inner city school. Facing a powerful and entrenched bureaucracy, they risk everything to make a difference in the education and future of their chil...",English,United States,1 win & 3 nominations total,https://m.media-amazon.com/images/M/MV5BMTg2NzUyMzYxOF5BMl5BanBnXkFtZTcwOTc4NzY5Nw@@._V1_SX300.jpg,42,6.4,6982,tt1870529,movie,N/A,
The Watch,https://www.youtube.com/watch?v=PhN1xnCyqR8,2012,R,27 Jul 2012,102 min,"Comedy, Sci-Fi",Akiva Schaffer,"Jared Stern, Seth Rogen, Evan Goldberg","Ben Stiller, Vince Vaughn, Jonah Hill",Four men who form a neighborhood watch group as a way to get out of their day-to-day family routines find themselves defending the Earth from an alien invasion.,English,"United States, United Kingdom",2 nominations total,https://m.media-amazon.com/images/M/MV5BMjU5MzI1NTk1MV5BMl5BanBnXkFtZTcwMzk5NzY5Nw@@._V1_SX300.jpg,36,5.7,135593,tt1298649,movie,N/A,
Abraham Lincoln: Vampire Hunter,https://www.youtube.com/watch?v=MmexgVvm4o8,2012,R,22 Jun 2012,105 min,"Action, Fantasy, Horror",Timur Bekmambetov,Seth Grahame-Smith,"Benjamin Walker, Rufus Sewell, Dominic Cooper","Abraham Lincoln, the 16th President of the United States, discovers vampires are planning to take over the United States. He makes it his mission to eliminate them.",English,"United States, Russia",1 nomination total,https://m.media-amazon.com/images/M/MV5BNjY2Mzc0MDA4NV5BMl5BanBnXkFtZTcwOTg5OTcxNw@@._V1_SX300.jpg,42,5.9,166383,tt1611224,movie,N/A,
This Means War,https://www.youtube.com/watch?v=iYkbJMX0d_w,2012,PG-13,17 Feb 2012,103 min,"Action, Comedy, Romance",McG,"Timothy Dowling, Simon Kinberg, Marcus Gautesen","Reese Witherspoon, Chris Pine, Tom Hardy",CIA agents and best friends Franklin and Tuck discover that they are in love with the same woman. Each of them then decides to win her over by using their own skills.,"English, German, Japanese, Serbian",United States,1 win & 6 nominations total,https://m.media-amazon.com/images/M/MV5BMTYyOTQ4MDE2MV5BMl5BanBnXkFtZTcwOTE0MTgwNw@@._V1_SX300.jpg,31,6.3,199055,tt1596350,movie,N/A,
The Three Stooges,https://www.youtube.com/watch?v=8o-CeYHHDrI,2012,PG,13 Apr 2012,92 min,"Comedy, Family","Bobby Farrelly, Peter Farrelly","Mike Cerrone, Bobby Farrelly, Peter Farrelly","Sean Hayes, Chris Diamantopoulos, Will Sasso","While trying to save their childhood orphanage, Moe, Larry, and Curly inadvertently stumble into a murder plot and wind up starring in a reality television show.",English,United States,4 nominations total,https://m.media-amazon.com/images/M/MV5BYmQ3MjNkYzItYWU0YS00YTYwLWE0MjAtYTU2Y2FhODRlNDFmXkEyXkFqcGc@._V1_SX300.jpg,56,5.2,34118,tt0383010,movie,N/A,
In Time,https://www.youtube.com/watch?v=xhYUaR5QiUs,2011,PG-13,28 Oct 2011,109 min,"Action, Sci-Fi, Thriller",Andrew Niccol,Andrew Niccol,"Justin Timberlake, Amanda Seyfried, Cillian Murphy","In a future where people stop aging at 25, but are engineered to live only one more year, having the means to buy your way out of the situation is a shot at immortal youth. Will Salas is accused of murder and on the run with a hos...",English,United States,2 nominations total,https://m.media-amazon.com/images/M/MV5BMjA3NzI1ODc1MV5BMl5BanBnXkFtZTcwMzI5NjQwNg@@._V1_SX300.jpg,53,6.7,474306,tt1637688,movie,N/A,
Alvin and the Chipmunks: Chipwrecked,https://www.youtube.com/watch?v=-dOc_fqmcZo,2011,G,16 Dec 2011,87 min,"Animation, Adventure, Comedy",Mike Mitchell,"Jonathan Aibel, Glenn Berger, Ross Bagdasarian","Justin Long, Matthew Gray Gubler, Jesse McCartney","Playing around while aboard a cruise ship, the Chipmunks and Chipettes accidentally go overboard and end up marooned in a tropical paradise. They discover their new turf is not as deserted as it seems.",English,United States,2 wins & 1 nomination total,https://m.media-amazon.com/images/M/MV5BNmE1NDE2MzktMzRkMi00YzRkLWFmMjYtZjlkODFkNTFkYzQxXkEyXkFqcGc@._V1_SX300.jpg,24,4.4,42931,tt1615918,movie,N/A,
What's Your Number?,https://www.youtube.com/watch?v=bgkxGrsX-A4,2011,R,30 Sep 2011,106 min,"Comedy, Romance",Mark Mylod,"Karyn Bosnak, Gabrielle Allan, Jennifer Crittenden","Anna Faris, Chris Evans, Ari Graynor",A woman looks back at the past nineteen men she's had relationships with in her life and wonders if one of them might be her one true love.,English,United States,1 win total,https://m.media-amazon.com/images/M/MV5BMjIzNTc2MTgwNV5BMl5BanBnXkFtZTcwMzYzMzgxNQ@@._V1_SX300.jpg,35,6,90583,tt0770703,movie,N/A,
Predators,https://www.youtube.com/watch?v=uzqYqoVoU74,2010,R,09 Jul 2010,107 min,"Action, Adventure, Sci-Fi",Nimród Antal,"Alex Litvak, Michael Finch, Jim Thomas","Adrien Brody, Laurence Fishburne, Topher Grace",A group of elite warriors parachute into an unfamiliar jungle and are hunted by members of a merciless alien race.,"English, Spanish, Russian",United States,2 wins & 4 nominations total,https://m.media-amazon.com/images/M/MV5BODNhMWY0MDQtNjgwZC00YjM3LWEwMDItMWM3MTg4ZjA5ODgwXkEyXkFqcGc@._V1_SX300.jpg,51,6.4,257050,tt1424381,movie,N/A,
Machete Kills,https://www.youtube.com/watch?v=7fGKttdOWQE,2013,R,11 Oct 2013,107 min,"Action, Comedy, Crime",Robert Rodriguez,"Kyle Ward, Robert Rodriguez, Marcel Rodriguez","Danny Trejo, Alexa PenaVega, Mel Gibson",The U.S. government recruits Machete to battle his way through Mexico in order to take down an arms dealer who looks to launch a weapon into space.,"English, Spanish","United States, Russia",3 nominations total,https://m.media-amazon.com/images/M/MV5BMjA2MzUxMTM3M15BMl5BanBnXkFtZTgwMzA2NzkxMDE@._V1_SX300.jpg,41,5.6,84865,tt2002718,movie,N/A,
Marmaduke - In Theaters June 4!,https://www.youtube.com/watch?v=AXXzwy7lDtI,2005,490690,N/A,N/A,N/A,N/A,N/A,"Tuva Novotny, Ghita Nørby",N/A,N/A,N/A,N/A,https://m.media-amazon.com/images/M/MV5BMTYxNDQyNDY2N15BMl5BanBnXkFtZTcwODYzMjA0MQ@@._V1_.jpg,N/A,N/A,N/A,tt0472526,N/A,N/A,
Ramona and Beezus,https://www.youtube.com/watch?v=VP5FW5KA6Go,2010,11844,N/A,N/A,N/A,N/A,N/A,"Joey King, Selena Gomez",N/A,N/A,N/A,N/A,https://m.media-amazon.com/images/M/MV5BMTk4MTU0MTczM15BMl5BanBnXkFtZTcwNjYzOTI0Mw@@._V1_.jpg,N/A,N/A,N/A,tt0493949,N/A,N/A,
